Chr	start	stop	V4	V5	V6	M24C1_LSD1	M24C2_LSD1	M24D1_LSD1	M24D2_LSD1	M24G1_LSD1	M24G2_LSD1	M24Q1_LSD1	M24Q2_LSD1
chr1	7942582	7942747	LSD1_peak_28	0	.	14	17	41	33	19	8	24	10
chr1	8097050	8097216	LSD1_peak_29	0	.	13	14	15	13	11	13	15	13
chr1	8107028	8107544	LSD1_peak_30	0	.	10	37	39	60	45	68	41	51
chr1	8120928	8121261	LSD1_peak_31	0	.	23	10	34	31	26	51	53	48
chr1	8121812	8122196	LSD1_peak_32	0	.	14	13	17	15	17	7	26	23
chr1	8211630	8212454	LSD1_peak_33	0	.	35	87	170	156	132	109	128	103
chr1	8213333	8213498	LSD1_peak_34	0	.	9	13	13	9	12	15	18	15
chr1	8224890	8225445	LSD1_peak_35	0	.	30	24	55	69	63	78	59	44
chr1	8395257	8395710	LSD1_peak_36	0	.	22	44	63	61	46	94	31	40
chr1	8395773	8395812	LSD1_peak_37	0	.	5	1	14	11	3	5	8	5
chr1	8423925	8424368	LSD1_peak_38	0	.	36	29	40	56	41	42	61	46
chr1	8427204	8428071	LSD1_peak_39	0	.	61	50	83	69	75	99	99	86
chr1	8476209	8476515	LSD1_peak_40	0	.	31	16	43	23	33	37	21	26
chr1	8701209	8701551	LSD1_peak_41	0	.	20	35	73	51	28	46	43	31
chr1	8817986	8818517	LSD1_peak_42	0	.	16	53	50	38	45	43	49	47
chr1	8873935	8874072	LSD1_peak_43	0	.	11	6	18	12	6	13	14	10
chr1	8879553	8880865	LSD1_peak_44	0	.	53	78	123	91	81	125	144	115
chr1	8899885	8900293	LSD1_peak_45	0	.	9	34	28	27	47	52	24	21
chr1	8938189	8938799	LSD1_peak_46	0	.	49	56	85	70	70	128	76	87
chr1	8973835	8974453	LSD1_peak_47	0	.	36	76	125	148	75	87	70	103
chr1	9067063	9067378	LSD1_peak_48	0	.	27	23	37	30	21	27	23	41
chr1	9069356	9069546	LSD1_peak_49	0	.	9	14	7	12	18	17	15	14
chr1	9069896	9069994	LSD1_peak_50	0	.	7	13	5	15	4	17	7	6
chr1	9074746	9075621	LSD1_peak_51	0	.	58	46	82	71	87	61	95	76
chr1	9076007	9076540	LSD1_peak_52	0	.	41	46	33	38	34	54	49	50
chr1	9082801	9082887	LSD1_peak_53	0	.	2	5	7	7	10	9	6	13
chr1	9093585	9094177	LSD1_peak_54	0	.	36	34	62	44	32	56	56	50
chr1	9143123	9143753	LSD1_peak_55	0	.	26	45	40	36	77	51	69	46
chr1	9233223	9233773	LSD1_peak_56	0	.	34	57	67	64	68	58	84	49
chr1	9234085	9234689	LSD1_peak_57	0	.	60	58	100	62	57	61	74	59
chr1	9234825	9235647	LSD1_peak_58	0	.	58	59	62	48	73	72	96	71
chr1	9238281	9239036	LSD1_peak_59	0	.	55	61	74	81	50	90	83	86
chr1	9239383	9240531	LSD1_peak_60	0	.	64	113	118	118	133	152	169	140
chr1	9275416	9276001	LSD1_peak_61	0	.	32	44	65	36	34	62	65	55
chr1	9280743	9281318	LSD1_peak_62	0	.	37	40	33	31	47	65	55	52
chr1	9425842	9426703	LSD1_peak_63	0	.	56	86	74	53	61	57	99	86
chr1	9628865	9630200	LSD1_peak_64	0	.	148	147	117	142	144	155	134	161
chr1	9630309	9630515	LSD1_peak_65	0	.	15	14	12	28	17	14	26	10
chr1	9643813	9644124	LSD1_peak_66	0	.	27	19	9	14	6	27	35	15
chr1	9652660	9653489	LSD1_peak_67	0	.	47	74	89	70	53	95	96	93
chr1	9654021	9654950	LSD1_peak_68	0	.	51	87	171	118	100	113	101	101
chr1	9704592	9705090	LSD1_peak_69	0	.	51	48	61	66	51	66	50	87
chr1	9759052	9760000	LSD1_peak_70	0	.	65	63	107	90	66	98	113	91
chr1	9761099	9761421	LSD1_peak_71	0	.	13	10	6	18	7	14	25	17
chr1	9761743	9761906	LSD1_peak_72	0	.	16	13	19	12	7	27	20	16
chr1	9823950	9825294	LSD1_peak_73	0	.	86	102	74	81	74	134	124	120
chr1	9892949	9893744	LSD1_peak_74	0	.	47	67	85	78	97	93	71	65
chr1	9900409	9900865	LSD1_peak_75	0	.	22	29	40	29	61	74	55	45
chr1	9950585	9950950	LSD1_peak_76	0	.	21	17	15	18	28	22	34	27
chr1	10074320	10074820	LSD1_peak_77	0	.	34	36	54	30	34	72	62	65
chr1	10170594	10170895	LSD1_peak_78	0	.	17	12	14	15	19	35	9	11
chr1	10209692	10210251	LSD1_peak_79	0	.	37	43	55	61	43	55	70	45
chr1	10398708	10398767	LSD1_peak_80	0	.	7	11	14	12	7	19	9	10
chr1	10400225	10400567	LSD1_peak_81	0	.	18	16	29	17	22	31	25	24
chr1	10414971	10415674	LSD1_peak_82	0	.	52	58	70	71	59	80	50	75
chr1	10484205	10485107	LSD1_peak_83	0	.	51	55	114	114	77	112	82	105
chr1	10964987	10966299	LSD1_peak_84	0	.	146	223	149	159	147	206	191	167
chr1	10966596	10967545	LSD1_peak_85	0	.	61	88	51	58	59	73	85	93
chr1	10986093	10986569	LSD1_peak_86	0	.	28	34	41	26	36	52	13	33
chr1	11736500	11736604	LSD1_peak_87	0	.	7	7	18	16	2	11	15	1
chr1	11740731	11741241	LSD1_peak_88	0	.	42	33	70	59	44	85	52	84
chr1	12019553	12020477	LSD1_peak_89	0	.	94	58	122	95	59	91	120	96
chr1	12125496	12125525	LSD1_peak_90	0	.	2	1	3	3	4	2	2	6
chr1	12143134	12143608	LSD1_peak_91	0	.	22	18	33	30	32	40	46	39
chr1	12143893	12144224	LSD1_peak_92	0	.	18	43	60	32	39	35	43	42
chr1	12150402	12150668	LSD1_peak_93	0	.	28	28	35	26	36	43	59	33
chr1	12150740	12151350	LSD1_peak_94	0	.	36	50	59	49	47	55	85	52
chr1	12152108	12152936	LSD1_peak_95	0	.	43	56	53	70	48	53	70	72
chr1	12153080	12153744	LSD1_peak_96	0	.	36	48	85	61	76	82	68	51
chr1	12157818	12158264	LSD1_peak_97	0	.	26	36	43	26	24	41	47	33
chr1	12161148	12162235	LSD1_peak_98	0	.	108	103	131	111	115	170	127	77
chr1	12176344	12176808	LSD1_peak_99	0	.	22	17	25	24	22	32	35	46
chr1	12178019	12178567	LSD1_peak_100	0	.	32	22	30	47	39	29	49	51
chr1	12179479	12180620	LSD1_peak_101	0	.	66	105	100	108	116	129	120	123
chr1	12182512	12182900	LSD1_peak_102	0	.	24	45	32	21	27	29	43	26
chr1	12183162	12183377	LSD1_peak_103	0	.	11	24	23	13	16	11	34	20
chr1	12183992	12184628	LSD1_peak_104	0	.	67	103	117	77	94	117	96	98
chr1	12186585	12186889	LSD1_peak_105	0	.	17	22	20	33	13	28	28	35
chr1	12196579	12197173	LSD1_peak_106	0	.	34	53	119	67	49	101	67	87
chr1	12344341	12345112	LSD1_peak_107	0	.	52	37	47	44	60	73	68	79
chr1	12434053	12434284	LSD1_peak_108	0	.	11	10	17	17	6	11	18	14
chr1	12438405	12438543	LSD1_peak_109	0	.	6	16	7	10	12	10	8	8
chr1	12596009	12597106	LSD1_peak_110	0	.	133	172	170	171	154	252	209	189
chr1	12604521	12604699	LSD1_peak_111	0	.	16	28	43	31	27	19	26	31
chr1	12615580	12616415	LSD1_peak_112	0	.	78	73	112	104	83	107	108	93
chr1	12617298	12619036	LSD1_peak_113	0	.	137	104	176	207	144	229	220	186
chr1	12620256	12620829	LSD1_peak_114	0	.	45	51	53	61	45	60	77	45
chr1	12631217	12631585	LSD1_peak_115	0	.	34	40	33	28	51	45	33	36
chr1	12632315	12632516	LSD1_peak_116	0	.	25	11	13	14	25	21	16	14
chr1	13642753	13643082	LSD1_peak_117	0	.	12	16	39	29	33	59	46	38
chr1	14724954	14725090	LSD1_peak_118	0	.	9	15	11	10	5	19	11	15
chr1	14777380	14777611	LSD1_peak_119	0	.	9	21	17	19	29	26	22	24
chr1	14778061	14779201	LSD1_peak_120	0	.	79	40	102	122	117	124	91	91
chr1	14780257	14780837	LSD1_peak_121	0	.	42	30	90	57	73	91	47	56
chr1	14996609	14997031	LSD1_peak_122	0	.	28	33	29	22	28	36	56	39
chr1	15016357	15016912	LSD1_peak_123	0	.	35	43	42	53	68	86	54	24
chr1	15261005	15261596	LSD1_peak_124	0	.	45	60	40	39	78	67	64	65
chr1	15411803	15412262	LSD1_peak_125	0	.	28	47	46	49	33	38	65	52
chr1	15415549	15416450	LSD1_peak_126	0	.	82	94	101	84	143	150	104	82
chr1	15417596	15417856	LSD1_peak_127	0	.	33	25	48	23	28	36	31	33
chr1	15618080	15618516	LSD1_peak_128	0	.	10	22	20	42	24	44	45	38
chr1	15684814	15685010	LSD1_peak_129	0	.	14	20	12	11	22	17	15	9
chr1	15829649	15829961	LSD1_peak_130	0	.	25	23	36	37	32	37	57	52
chr1	15833319	15834007	LSD1_peak_131	0	.	48	40	53	56	51	70	59	54
chr1	15835598	15835919	LSD1_peak_132	0	.	17	24	15	17	30	24	41	34
chr1	15836848	15837655	LSD1_peak_133	0	.	93	48	83	62	85	92	126	81
chr1	15847007	15847328	LSD1_peak_134	0	.	19	20	17	15	26	22	22	30
chr1	15848090	15848510	LSD1_peak_135	0	.	14	13	23	13	13	29	35	42
chr1	16012466	16013383	LSD1_peak_136	0	.	78	87	107	99	72	144	117	81
chr1	16278722	16280058	LSD1_peak_137	0	.	96	112	127	145	139	126	148	148
chr1	16288514	16288798	LSD1_peak_138	0	.	18	8	10	23	34	29	15	24
chr1	16289291	16289433	LSD1_peak_139	0	.	16	11	7	15	15	17	7	15
chr1	16351883	16352604	LSD1_peak_140	0	.	45	41	42	53	53	41	55	60
chr1	16364678	16365036	LSD1_peak_141	0	.	28	54	27	42	36	65	47	38
chr1	16365262	16365588	LSD1_peak_142	0	.	20	21	41	31	44	30	37	34
chr1	16367640	16367777	LSD1_peak_143	0	.	15	4	3	5	6	7	14	12
chr1	16676837	16676965	LSD1_peak_144	0	.	4	14	6	6	16	5	8	14
chr1	17013798	17014185	LSD1_peak_145	0	.	39	52	57	63	39	52	48	65
chr1	17060450	17060566	LSD1_peak_146	0	.	6	8	18	11	15	6	15	17
chr1	17066541	17067528	LSD1_peak_147	0	.	84	99	149	103	117	105	111	105
chr1	17141340	17141945	LSD1_peak_148	0	.	48	59	102	70	93	79	105	84
chr1	17207402	17208281	LSD1_peak_149	0	.	52	67	66	69	42	48	87	62
chr1	17431674	17432084	LSD1_peak_150	0	.	44	45	57	51	56	54	66	38
chr1	17629572	17630724	LSD1_peak_151	0	.	100	115	154	152	137	148	153	141
chr1	17635316	17636213	LSD1_peak_152	0	.	71	105	101	110	58	119	124	128
chr1	17640351	17641138	LSD1_peak_153	0	.	43	57	88	60	69	61	81	88
chr1	18902651	18902858	LSD1_peak_154	0	.	11	7	5	3	5	15	18	18
chr1	18927633	18927768	LSD1_peak_155	0	.	21	17	9	12	10	17	19	17
chr1	19314119	19314572	LSD1_peak_156	0	.	37	34	68	50	53	62	69	47
chr1	19315374	19316060	LSD1_peak_157	0	.	61	63	68	73	52	119	82	109
chr1	19318126	19318513	LSD1_peak_158	0	.	18	25	41	34	37	49	51	31
chr1	19318752	19319450	LSD1_peak_159	0	.	34	43	71	90	85	118	61	96
chr1	19325932	19326236	LSD1_peak_160	0	.	31	21	16	14	16	39	26	28
chr1	19505683	19506155	LSD1_peak_161	0	.	43	37	41	72	66	64	49	32
chr1	19509039	19509383	LSD1_peak_162	0	.	25	23	50	65	46	53	28	39
chr1	19510820	19511188	LSD1_peak_163	0	.	27	38	33	38	21	22	27	20
chr1	19580051	19580464	LSD1_peak_164	0	.	36	32	44	38	43	41	39	44
chr1	20058525	20059287	LSD1_peak_165	0	.	36	67	81	103	72	88	87	70
chr1	20059933	20060118	LSD1_peak_166	0	.	14	21	38	34	16	35	27	21
chr1	20061766	20062081	LSD1_peak_167	0	.	19	11	22	19	34	27	27	20
chr1	20081203	20081425	LSD1_peak_168	0	.	17	15	12	13	20	23	12	16
chr1	20153156	20153490	LSD1_peak_169	0	.	18	15	35	20	17	19	22	21
chr1	20154293	20154470	LSD1_peak_170	0	.	9	7	10	4	9	15	8	10
chr1	20171660	20172694	LSD1_peak_171	0	.	58	67	88	90	82	74	80	98
chr1	20173950	20175393	LSD1_peak_172	0	.	101	98	97	127	115	160	132	138
chr1	20178860	20179199	LSD1_peak_173	0	.	28	29	19	23	32	45	30	11
chr1	20184436	20185830	LSD1_peak_174	0	.	101	95	182	135	151	164	154	131
chr1	20223058	20223555	LSD1_peak_175	0	.	28	43	71	46	36	57	43	60
chr1	20380713	20381145	LSD1_peak_176	0	.	14	23	37	48	30	60	39	61
chr1	20381451	20381728	LSD1_peak_177	0	.	6	16	6	7	8	9	20	14
chr1	20590162	20590531	LSD1_peak_178	0	.	15	15	52	40	34	65	36	38
chr1	20678215	20679316	LSD1_peak_179	0	.	62	123	115	90	101	130	107	106
chr1	20851835	20852281	LSD1_peak_180	0	.	26	41	73	43	52	39	50	51
chr1	21090948	21091564	LSD1_peak_181	0	.	26	40	73	49	45	81	49	60
chr1	21100321	21100844	LSD1_peak_182	0	.	46	28	81	47	68	50	56	45
chr1	21287858	21288629	LSD1_peak_183	0	.	38	51	89	113	67	114	96	100
chr1	21294507	21294721	LSD1_peak_184	0	.	19	27	19	21	22	41	29	23
chr1	21324385	21324415	LSD1_peak_185	0	.	2	1	7	4	6	7	15	3
chr1	21324604	21325223	LSD1_peak_186	0	.	36	60	74	85	61	65	64	71
chr1	21334256	21334677	LSD1_peak_187	0	.	28	51	71	51	72	83	50	54
chr1	21338156	21338397	LSD1_peak_188	0	.	12	13	16	11	28	25	11	7
chr1	21761337	21762085	LSD1_peak_189	0	.	63	87	46	63	60	76	63	78
chr1	21762215	21762335	LSD1_peak_190	0	.	8	12	15	13	17	24	17	13
chr1	21766463	21766788	LSD1_peak_191	0	.	25	20	22	28	32	32	22	22
chr1	21767628	21768757	LSD1_peak_192	0	.	93	149	206	187	185	315	191	157
chr1	22018639	22019540	LSD1_peak_193	0	.	73	82	122	137	89	135	126	155
chr1	22024731	22025069	LSD1_peak_194	0	.	22	32	41	31	31	25	38	28
chr1	22025728	22026383	LSD1_peak_195	0	.	70	71	42	53	58	82	68	64
chr1	22990708	22990826	LSD1_peak_196	0	.	1	8	4	3	6	16	10	5
chr1	23169589	23170108	LSD1_peak_197	0	.	25	34	37	48	57	55	51	47
chr1	23402411	23403034	LSD1_peak_198	0	.	59	77	90	84	87	108	72	61
chr1	23559398	23559731	LSD1_peak_199	0	.	18	24	62	35	40	55	33	33
chr1	23567233	23567815	LSD1_peak_200	0	.	65	52	43	28	56	41	58	64
chr1	23727350	23727708	LSD1_peak_201	0	.	36	40	62	53	58	50	50	50
chr1	23727744	23727828	LSD1_peak_202	0	.	3	8	7	6	4	9	3	5
chr1	23867996	23868218	LSD1_peak_203	0	.	13	20	13	19	2	6	19	19
chr1	23896542	23898152	LSD1_peak_204	0	.	144	145	151	176	140	202	195	216
chr1	23908202	23909321	LSD1_peak_205	0	.	136	149	145	155	150	134	180	158
chr1	23913101	23913932	LSD1_peak_206	0	.	76	69	97	83	106	97	131	101
chr1	23914313	23914987	LSD1_peak_207	0	.	37	50	62	43	44	43	57	38
chr1	23915811	23916903	LSD1_peak_208	0	.	73	99	139	133	139	118	153	134
chr1	23955167	23955353	LSD1_peak_209	0	.	15	3	20	32	14	20	17	17
chr1	23958401	23958921	LSD1_peak_210	0	.	25	54	48	41	37	53	50	48
chr1	23959076	23959318	LSD1_peak_211	0	.	20	17	34	27	21	34	34	14
chr1	24173553	24174414	LSD1_peak_212	0	.	53	88	106	91	98	122	90	136
chr1	24189242	24191900	LSD1_peak_213	0	.	219	215	270	317	244	245	330	270
chr1	24198700	24198845	LSD1_peak_214	0	.	4	8	3	4	4	19	11	17
chr1	24322078	24322204	LSD1_peak_215	0	.	13	7	14	6	6	8	13	10
chr1	24415325	24415957	LSD1_peak_216	0	.	48	48	53	53	57	64	66	65
chr1	24420723	24421012	LSD1_peak_217	0	.	10	9	12	15	38	28	20	24
chr1	24465999	24467554	LSD1_peak_218	0	.	113	157	136	185	167	186	161	209
chr1	24480918	24481243	LSD1_peak_219	0	.	17	11	22	19	13	32	30	33
chr1	24501887	24502273	LSD1_peak_220	0	.	20	34	22	32	32	36	55	42
chr1	24708673	24709408	LSD1_peak_221	0	.	69	73	114	102	97	133	110	104
chr1	24710098	24710457	LSD1_peak_222	0	.	25	36	29	24	31	44	20	37
chr1	24727728	24728153	LSD1_peak_223	0	.	19	48	57	24	47	35	41	51
chr1	24733007	24733338	LSD1_peak_224	0	.	20	16	31	21	25	23	36	34
chr1	24741957	24742203	LSD1_peak_225	0	.	14	11	13	7	18	24	19	24
chr1	24744829	24745049	LSD1_peak_226	0	.	15	5	25	13	21	29	26	20
chr1	24745654	24746068	LSD1_peak_227	0	.	7	17	23	26	14	19	31	27
chr1	24762270	24762475	LSD1_peak_228	0	.	10	11	10	17	26	17	12	10
chr1	24769930	24770243	LSD1_peak_229	0	.	42	30	31	36	25	20	34	23
chr1	24848168	24848807	LSD1_peak_230	0	.	74	65	67	91	122	75	131	123
chr1	24929177	24929810	LSD1_peak_231	0	.	41	37	55	37	38	54	78	52
chr1	24930052	24930381	LSD1_peak_232	0	.	15	19	30	23	23	19	37	28
chr1	24954976	24955760	LSD1_peak_233	0	.	60	70	45	72	76	78	81	91
chr1	24964811	24966904	LSD1_peak_234	0	.	242	228	216	308	239	252	334	333
chr1	24978522	24979107	LSD1_peak_235	0	.	20	48	49	36	50	50	44	53
chr1	25021403	25021585	LSD1_peak_236	0	.	7	21	7	4	23	21	16	13
chr1	25021933	25022109	LSD1_peak_237	0	.	5	22	14	19	19	13	16	17
chr1	25022377	25022906	LSD1_peak_238	0	.	38	60	101	97	75	91	134	105
chr1	25023276	25024001	LSD1_peak_239	0	.	55	74	37	45	40	55	55	58
chr1	25030536	25031538	LSD1_peak_240	0	.	68	79	82	87	81	111	103	99
chr1	25032885	25033265	LSD1_peak_241	0	.	24	32	27	22	20	28	44	42
chr1	25033345	25034487	LSD1_peak_242	0	.	120	108	88	108	89	138	127	106
chr1	25063593	25064060	LSD1_peak_243	0	.	30	21	25	32	41	18	42	47
chr1	25080790	25081238	LSD1_peak_244	0	.	34	53	47	33	35	56	48	61
chr1	25131711	25132124	LSD1_peak_245	0	.	17	41	59	42	51	51	45	35
chr1	25549244	25550134	LSD1_peak_246	0	.	71	64	93	83	81	116	102	106
chr1	25616272	25616573	LSD1_peak_247	0	.	9	13	16	24	17	21	33	38
chr1	25860049	25860296	LSD1_peak_248	0	.	17	24	25	20	18	32	23	36
chr1	25861289	25861466	LSD1_peak_249	0	.	16	18	19	14	21	14	19	24
chr1	25922694	25923801	LSD1_peak_250	0	.	127	116	99	113	97	143	152	131
chr1	25931406	25931704	LSD1_peak_251	0	.	9	18	28	18	26	27	25	25
chr1	26015768	26015810	LSD1_peak_252	0	.	6	4	5	2	2	2	6	1
chr1	26019922	26020136	LSD1_peak_253	0	.	19	15	24	27	24	29	23	22
chr1	26126816	26127108	LSD1_peak_254	0	.	13	11	27	24	22	22	27	22
chr1	26275842	26276207	LSD1_peak_255	0	.	32	22	15	26	21	25	8	22
chr1	26288550	26290249	LSD1_peak_256	0	.	152	146	167	180	172	175	217	159
chr1	26315409	26316243	LSD1_peak_257	0	.	46	72	71	72	114	83	73	89
chr1	26377796	26378994	LSD1_peak_258	0	.	102	120	110	116	103	126	137	145
chr1	26385562	26386116	LSD1_peak_259	0	.	43	29	55	39	35	42	67	52
chr1	26538382	26538852	LSD1_peak_260	0	.	49	38	32	44	44	49	39	31
chr1	26539671	26539979	LSD1_peak_261	0	.	17	12	9	36	28	22	31	25
chr1	26541277	26543178	LSD1_peak_262	0	.	237	255	402	305	321	327	343	313
chr1	26545506	26546049	LSD1_peak_263	0	.	28	24	43	44	47	48	50	68
chr1	26554206	26554802	LSD1_peak_264	0	.	18	35	55	46	44	56	40	42
chr1	26555478	26556126	LSD1_peak_265	0	.	20	48	55	42	65	73	45	49
chr1	26582522	26583510	LSD1_peak_266	0	.	109	84	110	107	129	107	138	134
chr1	26620324	26621044	LSD1_peak_267	0	.	82	86	99	108	95	123	137	105
chr1	26621504	26621915	LSD1_peak_268	0	.	25	47	46	35	26	59	62	60
chr1	26627901	26628212	LSD1_peak_269	0	.	18	23	43	49	24	28	28	25
chr1	26690151	26690336	LSD1_peak_270	0	.	12	22	28	14	13	15	25	19
chr1	26695013	26695904	LSD1_peak_271	0	.	94	108	115	81	125	145	151	107
chr1	26743601	26744563	LSD1_peak_272	0	.	53	75	66	70	90	109	93	94
chr1	26786623	26786910	LSD1_peak_273	0	.	23	12	22	18	9	17	39	23
chr1	26820476	26821256	LSD1_peak_274	0	.	32	41	66	54	77	71	65	61
chr1	27112014	27112167	LSD1_peak_275	0	.	9	18	19	15	14	31	12	20
chr1	27116481	27117228	LSD1_peak_276	0	.	51	86	121	87	51	85	95	108
chr1	27300438	27300751	LSD1_peak_277	0	.	20	32	44	41	41	55	29	34
chr1	27341136	27341383	LSD1_peak_278	0	.	16	15	18	19	22	18	23	27
chr1	27341899	27341998	LSD1_peak_279	0	.	17	15	17	11	10	23	13	6
chr1	27343142	27343969	LSD1_peak_280	0	.	60	79	68	90	73	101	93	120
chr1	27403200	27403561	LSD1_peak_281	0	.	18	14	18	19	18	25	36	21
chr1	27435795	27436364	LSD1_peak_282	0	.	43	43	69	81	68	81	43	71
chr1	27514114	27514449	LSD1_peak_283	0	.	22	15	15	9	18	16	20	18
chr1	27603636	27603985	LSD1_peak_284	0	.	24	25	26	27	19	15	31	22
chr1	27618288	27618682	LSD1_peak_285	0	.	15	21	29	29	35	47	27	25
chr1	27623726	27623801	LSD1_peak_286	0	.	4	2	8	8	4	7	14	14
chr1	27631309	27632453	LSD1_peak_287	0	.	77	111	140	119	128	162	170	154
chr1	27633080	27633453	LSD1_peak_288	0	.	19	20	20	17	21	17	26	35
chr1	27659506	27659938	LSD1_peak_289	0	.	36	10	24	17	36	35	47	26
chr1	27779825	27780029	LSD1_peak_290	0	.	11	8	8	13	18	13	10	23
chr1	27863403	27863714	LSD1_peak_291	0	.	17	37	32	31	11	25	34	51
chr1	27869056	27870079	LSD1_peak_292	0	.	98	120	104	102	92	111	156	114
chr1	27873092	27873407	LSD1_peak_293	0	.	32	19	18	8	8	29	20	16
chr1	27884831	27885702	LSD1_peak_294	0	.	69	89	114	97	90	111	108	100
chr1	27885910	27886365	LSD1_peak_295	0	.	27	24	60	37	41	54	26	44
chr1	27887295	27887696	LSD1_peak_296	0	.	18	16	27	46	39	50	36	39
chr1	27904301	27905079	LSD1_peak_297	0	.	36	39	85	82	50	74	92	85
chr1	27943248	27943892	LSD1_peak_298	0	.	30	65	87	86	84	100	62	59
chr1	28111640	28111743	LSD1_peak_299	0	.	12	11	13	9	11	10	8	6
chr1	28112467	28113173	LSD1_peak_300	0	.	70	74	80	62	72	83	86	94
chr1	28114517	28115140	LSD1_peak_301	0	.	32	57	36	43	37	48	50	45
chr1	28115250	28115880	LSD1_peak_302	0	.	83	96	120	98	83	117	88	106
chr1	28117909	28119236	LSD1_peak_303	0	.	96	109	174	179	159	197	148	158
chr1	28126326	28127819	LSD1_peak_304	0	.	118	117	150	164	183	141	177	186
chr1	28127988	28128046	LSD1_peak_305	0	.	0	3	4	3	5	4	4	3
chr1	28135250	28135598	LSD1_peak_306	0	.	25	20	34	16	26	23	23	19
chr1	28139208	28139597	LSD1_peak_307	0	.	37	45	27	27	42	54	36	33
chr1	28139676	28139943	LSD1_peak_308	0	.	9	6	9	7	24	6	25	15
chr1	28156973	28157371	LSD1_peak_309	0	.	30	31	33	37	36	27	38	32
chr1	28169397	28170002	LSD1_peak_310	0	.	24	51	62	78	64	52	42	46
chr1	28172195	28173742	LSD1_peak_311	0	.	117	166	198	202	180	227	230	179
chr1	28235355	28235868	LSD1_peak_312	0	.	52	37	44	41	44	72	79	47
chr1	28244699	28245122	LSD1_peak_313	0	.	24	12	42	37	38	51	32	35
chr1	28249068	28249877	LSD1_peak_314	0	.	42	56	76	74	46	57	63	73
chr1	28308531	28309048	LSD1_peak_315	0	.	32	36	34	28	43	63	25	38
chr1	28326378	28326964	LSD1_peak_316	0	.	43	64	59	73	61	73	60	69
chr1	28369325	28370123	LSD1_peak_317	0	.	41	62	75	69	46	94	84	75
chr1	28428235	28428543	LSD1_peak_318	0	.	14	15	27	11	9	24	19	22
chr1	28715261	28715576	LSD1_peak_319	0	.	14	19	13	5	8	19	32	34
chr1	28749046	28749515	LSD1_peak_320	0	.	27	30	46	35	34	46	39	44
chr1	29182418	29182718	LSD1_peak_321	0	.	17	20	10	26	23	20	29	8
chr1	30747343	30747933	LSD1_peak_322	0	.	37	44	61	61	73	56	36	62
chr1	30754942	30755172	LSD1_peak_323	0	.	17	8	18	23	10	16	19	23
chr1	30756291	30758272	LSD1_peak_324	0	.	189	160	268	261	219	258	246	272
chr1	30823352	30823958	LSD1_peak_325	0	.	29	46	59	45	54	61	72	55
chr1	30824375	30824803	LSD1_peak_326	0	.	41	41	51	45	32	35	41	33
chr1	30912895	30913371	LSD1_peak_327	0	.	58	37	51	70	40	67	54	54
chr1	31107622	31107926	LSD1_peak_328	0	.	24	19	20	19	12	29	11	22
