Chr	start	stop	V4	V5	V6	M24C1_RUNX	M24C2_RUNX	M24D1_RUNX	M24D2_RUNX	M24G1_RUNX	M24G2_RUNX	M24Q1_RUNX	M24Q2_RUNX
chr1	30756507	30757246	RUNX_peak_44	0	.	87	136	105	113	140	115	109	127
chr1	31483273	31483837	RUNX_peak_45	0	.	96	91	93	91	142	99	65	68
chr1	32981144	32981609	RUNX_peak_46	0	.	50	39	31	51	79	75	31	46
chr1	33032157	33032345	RUNX_peak_47	0	.	16	23	24	33	37	38	15	25
chr1	33099437	33099734	RUNX_peak_48	0	.	48	37	28	55	66	35	33	44
chr1	35387070	35387254	RUNX_peak_49	0	.	45	36	27	37	41	22	31	50
chr1	36386566	36386752	RUNX_peak_50	0	.	23	38	14	25	52	52	39	16
chr1	36486460	36486999	RUNX_peak_51	0	.	43	57	52	46	74	33	66	82
chr1	37922949	37923184	RUNX_peak_52	0	.	17	28	12	11	23	14	26	38
chr1	39800546	39800886	RUNX_peak_53	0	.	16	26	35	49	92	47	21	28
chr1	39934146	39934594	RUNX_peak_54	0	.	73	89	62	82	110	85	67	74
chr1	40059671	40059959	RUNX_peak_55	0	.	34	42	25	27	46	33	36	51
chr1	41727260	41727798	RUNX_peak_56	0	.	66	98	57	55	113	91	62	61
chr1	41751291	41751669	RUNX_peak_57	0	.	48	47	37	31	64	49	23	39
chr1	42931211	42932353	RUNX_peak_58	0	.	131	187	125	145	167	136	135	164
chr1	43358797	43358996	RUNX_peak_59	0	.	34	83	29	36	51	45	44	29
chr1	43834267	43835627	RUNX_peak_60	0	.	239	269	165	252	332	300	230	237
chr1	45521714	45522129	RUNX_peak_61	0	.	143	185	118	101	188	150	192	140
chr1	45543973	45544150	RUNX_peak_62	0	.	23	45	16	20	31	31	32	43
chr1	46373921	46374066	RUNX_peak_63	0	.	32	19	9	14	25	37	19	19
chr1	46581895	46582162	RUNX_peak_64	0	.	20	39	23	27	42	50	28	41
chr1	48617234	48617499	RUNX_peak_65	0	.	50	45	18	26	58	73	41	41
chr1	48793992	48794292	RUNX_peak_66	0	.	23	19	11	22	50	42	23	21
chr1	52637119	52637945	RUNX_peak_67	0	.	115	132	94	109	168	156	98	103
chr1	66395478	66395936	RUNX_peak_68	0	.	35	50	41	50	72	43	26	47
chr1	66416212	66416405	RUNX_peak_69	0	.	16	18	11	37	22	12	23	34
chr1	66752505	66752533	RUNX_peak_70	0	.	11	6	6	3	2	2	2	5
chr1	75796735	75797211	RUNX_peak_71	0	.	28	28	53	53	55	32	35	31
chr1	77048174	77048276	RUNX_peak_72	0	.	8	12	10	4	19	16	15	15
chr1	77413702	77414019	RUNX_peak_73	0	.	54	69	39	36	56	51	35	67
chr1	77415741	77416169	RUNX_peak_74	0	.	38	40	18	44	60	77	34	27
chr1	77682592	77682877	RUNX_peak_75	0	.	58	63	44	55	95	57	74	62
chr1	77979253	77979338	RUNX_peak_76	0	.	12	15	11	11	32	16	20	16
chr1	84854463	84854701	RUNX_peak_77	0	.	30	43	13	25	76	62	24	39
chr1	87151571	87151864	RUNX_peak_78	0	.	45	76	59	45	83	53	55	51
chr1	87179680	87180332	RUNX_peak_79	0	.	100	134	67	125	182	198	135	129
chr1	87180431	87180734	RUNX_peak_80	0	.	33	52	30	28	51	22	37	39
chr1	87209109	87209127	RUNX_peak_81	0	.	3	10	3	5	14	6	6	11
chr1	89681215	89681366	RUNX_peak_82	0	.	28	37	26	25	43	28	27	21
chr1	89757588	89758002	RUNX_peak_83	0	.	74	114	73	84	146	151	92	63
chr1	89821375	89821647	RUNX_peak_84	0	.	41	26	18	17	27	31	50	34
chr1	92459752	92460756	RUNX_peak_85	0	.	126	171	103	146	298	206	136	128
chr1	94602184	94602861	RUNX_peak_86	0	.	168	247	156	180	254	290	167	235
chr1	96362717	96362893	RUNX_peak_87	0	.	21	66	15	31	48	59	44	35
chr1	98323985	98324350	RUNX_peak_88	0	.	48	99	30	63	114	92	59	96
chr1	103525743	103525936	RUNX_peak_89	0	.	32	17	25	17	46	27	24	48
chr1	104468243	104468549	RUNX_peak_90	0	.	53	64	27	52	51	39	38	38
chr1	107941156	107941545	RUNX_peak_91	0	.	31	38	47	50	75	52	32	53
chr1	108505456	108505932	RUNX_peak_92	0	.	60	49	42	81	63	67	50	47
chr1	110034458	110034677	RUNX_peak_93	0	.	39	64	35	46	88	69	40	32
chr1	110338899	110339186	RUNX_peak_94	0	.	45	68	35	29	59	39	61	86
chr1	111203677	111204441	RUNX_peak_95	0	.	149	138	146	104	192	130	157	177
chr1	111449200	111449376	RUNX_peak_96	0	.	41	54	24	21	55	63	27	22
chr1	113871851	113871897	RUNX_peak_97	0	.	4	15	6	12	22	10	15	13
chr1	114040279	114041022	RUNX_peak_98	0	.	65	84	89	86	142	101	86	89
chr1	116515093	116515399	RUNX_peak_99	0	.	29	54	47	23	64	53	32	37
chr1	121516724	121516959	RUNX_peak_100	0	.	43	40	19	52	59	44	43	55
chr1	150160516	150160897	RUNX_peak_101	0	.	65	82	26	33	126	97	76	64
chr1	152036473	152036970	RUNX_peak_102	0	.	54	36	42	33	85	42	35	32
chr1	153386619	153386890	RUNX_peak_103	0	.	65	55	20	38	32	71	45	57
chr1	154403533	154404026	RUNX_peak_104	0	.	68	64	46	73	102	74	78	74
chr1	154405043	154405681	RUNX_peak_105	0	.	101	80	89	90	185	97	102	113
chr1	154406130	154406202	RUNX_peak_106	0	.	12	7	7	9	8	4	5	10
chr1	155976089	155976996	RUNX_peak_107	0	.	155	168	69	148	207	172	154	124
chr1	156127065	156127496	RUNX_peak_108	0	.	60	113	63	62	134	110	126	65
chr1	156213022	156213215	RUNX_peak_109	0	.	36	39	30	34	43	41	34	36
chr1	156282593	156283097	RUNX_peak_110	0	.	139	178	120	79	233	98	117	108
chr1	156491385	156493185	RUNX_peak_111	0	.	265	287	275	275	384	353	287	315
chr1	156504729	156505288	RUNX_peak_112	0	.	64	57	87	68	132	77	99	90
chr1	156524369	156524625	RUNX_peak_113	0	.	25	32	25	50	37	49	34	47
chr1	156524715	156525097	RUNX_peak_114	0	.	33	20	19	47	40	47	23	41
chr1	156796443	156796678	RUNX_peak_115	0	.	20	16	20	22	65	26	24	21
chr1	157403584	157404450	RUNX_peak_116	0	.	96	61	110	107	132	98	108	116
chr1	157595400	157595630	RUNX_peak_117	0	.	31	46	21	40	62	42	23	25
chr1	158248029	158249180	RUNX_peak_118	0	.	145	211	104	154	242	236	129	200
chr1	159067992	159068567	RUNX_peak_119	0	.	51	108	64	88	89	70	52	81
chr1	160863089	160863426	RUNX_peak_120	0	.	23	26	16	26	37	17	30	55
chr1	160863447	160863912	RUNX_peak_121	0	.	63	36	38	69	81	56	83	54
chr1	161083514	161083845	RUNX_peak_122	0	.	48	48	50	56	92	44	54	56
chr1	164720597	164721126	RUNX_peak_123	0	.	59	42	59	86	80	58	60	88
chr1	165393120	165393430	RUNX_peak_124	0	.	72	118	45	40	79	82	65	91
chr1	167627907	167628309	RUNX_peak_125	0	.	93	89	52	88	101	71	81	90
chr1	167753305	167753747	RUNX_peak_126	0	.	43	53	42	35	67	58	42	74
chr1	167936314	167936638	RUNX_peak_127	0	.	68	82	57	49	90	69	74	46
chr1	174008724	174009029	RUNX_peak_128	0	.	11	17	14	16	30	15	10	20
chr1	175573285	175573839	RUNX_peak_129	0	.	93	100	64	63	138	123	87	115
chr1	178067218	178067411	RUNX_peak_130	0	.	27	16	27	34	26	35	23	35
chr1	178283406	178283702	RUNX_peak_131	0	.	25	35	16	28	51	52	41	48
chr1	178942830	178943072	RUNX_peak_132	0	.	40	29	20	9	35	53	26	20
chr1	181013139	181013360	RUNX_peak_133	0	.	23	30	18	25	58	45	15	20
chr1	181129101	181129601	RUNX_peak_134	0	.	44	68	52	61	73	39	53	60
chr1	181159708	181160074	RUNX_peak_135	0	.	33	64	32	34	39	48	38	42
chr1	182484637	182484970	RUNX_peak_136	0	.	26	69	65	88	51	102	83	57
chr1	183472106	183472353	RUNX_peak_137	0	.	64	67	44	34	75	57	46	37
chr1	183590638	183590942	RUNX_peak_138	0	.	26	30	39	27	30	36	29	42
chr1	183896616	183896951	RUNX_peak_139	0	.	42	45	32	27	68	57	52	52
chr1	185338859	185339361	RUNX_peak_140	0	.	91	91	72	72	120	107	54	98
chr1	192805982	192806173	RUNX_peak_141	0	.	18	46	30	32	57	52	36	16
chr1	198681955	198682250	RUNX_peak_142	0	.	12	44	49	29	69	73	32	27
chr1	198986322	198986520	RUNX_peak_143	0	.	24	17	13	20	12	4	31	21
chr1	199041361	199041818	RUNX_peak_144	0	.	66	105	42	78	109	82	44	70
chr1	200207803	200208134	RUNX_peak_145	0	.	39	43	25	29	71	63	23	33
chr1	200888224	200888503	RUNX_peak_146	0	.	18	42	33	49	62	35	38	22
chr1	202615590	202616362	RUNX_peak_147	0	.	179	209	130	152	263	195	154	244
chr1	203186810	203187056	RUNX_peak_148	0	.	26	53	46	36	59	48	36	62
chr1	203202570	203203005	RUNX_peak_149	0	.	40	48	49	51	58	35	38	38
chr1	203287532	203287898	RUNX_peak_150	0	.	52	58	21	28	67	75	42	66
chr1	203626330	203626706	RUNX_peak_151	0	.	47	64	58	54	99	77	80	58
chr1	205286506	205286919	RUNX_peak_152	0	.	68	58	46	61	71	55	60	32
chr1	205288264	205288468	RUNX_peak_153	0	.	35	53	24	27	50	67	46	51
chr1	206050991	206051114	RUNX_peak_154	0	.	14	25	8	13	10	11	22	14
chr1	206472608	206472980	RUNX_peak_155	0	.	32	45	46	49	40	40	61	51
chr1	206699662	206699943	RUNX_peak_156	0	.	41	35	42	27	56	30	44	39
chr1	207321267	207321614	RUNX_peak_157	0	.	57	47	29	35	78	58	55	65
chr1	209704127	209704305	RUNX_peak_158	0	.	2	12	10	22	6	2	12	5
chr1	211590136	211590489	RUNX_peak_159	0	.	71	63	38	47	108	84	44	68
chr1	219088714	219089234	RUNX_peak_160	0	.	58	114	54	56	118	81	91	87
chr1	220778226	220778401	RUNX_peak_161	0	.	11	14	11	7	35	19	9	21
chr1	220882408	220882583	RUNX_peak_162	0	.	25	21	24	14	25	19	35	24
chr1	221097807	221098044	RUNX_peak_163	0	.	35	63	21	23	53	38	45	45
chr1	221708106	221708305	RUNX_peak_164	0	.	34	61	22	48	62	35	32	41
chr1	221713188	221713393	RUNX_peak_165	0	.	40	66	19	34	41	58	22	37
chr1	221777650	221777844	RUNX_peak_166	0	.	21	16	22	24	37	24	18	22
chr1	222654913	222655244	RUNX_peak_167	0	.	26	23	33	40	38	28	39	13
chr1	224379950	224380263	RUNX_peak_168	0	.	52	83	35	65	89	65	33	45
chr1	224503423	224503949	RUNX_peak_169	0	.	80	64	71	83	125	110	64	88
chr1	228991217	228991601	RUNX_peak_170	0	.	27	49	45	41	84	47	47	54
chr1	229027882	229028057	RUNX_peak_171	0	.	25	14	17	40	19	15	20	43
chr1	229068366	229068568	RUNX_peak_172	0	.	17	17	41	17	43	43	25	24
chr1	229537862	229538345	RUNX_peak_173	0	.	106	114	66	114	168	164	81	114
chr1	231460729	231460949	RUNX_peak_174	0	.	40	78	13	54	64	51	43	40
chr1	231612606	231613237	RUNX_peak_175	0	.	69	53	35	62	112	54	70	72
chr1	232805236	232805480	RUNX_peak_176	0	.	73	75	57	34	61	63	54	67
chr1	233113018	233113342	RUNX_peak_177	0	.	73	90	59	67	112	115	84	85
chr1	234522383	234523642	RUNX_peak_178	0	.	230	257	222	229	345	269	234	256
chr1	234558189	234559032	RUNX_peak_179	0	.	68	128	111	156	200	182	115	139
chr1	234604050	234604174	RUNX_peak_180	0	.	11	7	21	11	18	17	24	17
chr1	234607314	234607492	RUNX_peak_181	0	.	22	9	16	7	23	19	28	28
chr1	234612062	234612807	RUNX_peak_182	0	.	104	90	100	74	146	129	109	90
chr1	234613468	234613597	RUNX_peak_183	0	.	12	13	12	9	22	32	18	7
chr1	234723595	234724509	RUNX_peak_184	0	.	118	116	85	142	210	186	119	164
chr1	234772113	234772731	RUNX_peak_185	0	.	56	107	39	80	124	85	87	82
chr1	234775110	234775226	RUNX_peak_186	0	.	13	7	16	10	17	12	8	20
chr1	234775448	234776126	RUNX_peak_187	0	.	102	159	68	111	193	158	151	184
chr1	234778080	234778989	RUNX_peak_188	0	.	191	173	222	216	315	281	185	244
chr1	234851611	234851865	RUNX_peak_189	0	.	34	24	11	43	48	31	43	41
chr1	234962333	234963695	RUNX_peak_190	0	.	157	224	195	244	314	198	212	229
chr1	234978239	234978884	RUNX_peak_191	0	.	84	71	64	70	125	91	99	91
chr1	234980301	234981467	RUNX_peak_192	0	.	266	286	217	220	352	243	264	254
chr1	235011844	235012070	RUNX_peak_193	0	.	38	84	27	33	79	58	35	46
chr1	235012247	235012270	RUNX_peak_194	0	.	12	6	6	7	11	2	10	6
chr1	235865212	235865383	RUNX_peak_195	0	.	19	9	25	16	20	12	22	35
chr1	235932078	235932561	RUNX_peak_196	0	.	56	107	75	87	146	88	84	87
chr1	235942206	235943351	RUNX_peak_197	0	.	159	190	189	217	305	220	209	203
chr1	235954802	235955147	RUNX_peak_198	0	.	50	109	84	89	127	83	63	98
chr1	238330223	238330472	RUNX_peak_199	0	.	28	29	26	35	46	32	20	23
chr1	243727383	243728273	RUNX_peak_200	0	.	129	126	98	120	137	159	97	133
chr1	244319568	244320096	RUNX_peak_201	0	.	45	43	33	45	81	57	72	65
chr1	244835098	244835870	RUNX_peak_202	0	.	185	235	168	123	209	168	172	183
chr1	244856553	244856880	RUNX_peak_203	0	.	24	24	15	17	41	35	41	40
chr1	244863412	244863657	RUNX_peak_204	0	.	15	18	18	10	23	22	36	39
chr1	244918888	244918905	RUNX_peak_205	0	.	6	9	1	6	9	7	6	12
chr1	244920830	244921489	RUNX_peak_206	0	.	91	101	58	79	142	94	86	111
chr1	244952849	244953261	RUNX_peak_207	0	.	37	56	43	64	83	75	50	40
chr1	246931928	246932211	RUNX_peak_208	0	.	48	58	33	34	55	61	42	42
chr1	247415705	247416434	RUNX_peak_209	0	.	74	126	96	75	172	142	117	89
chr1	248710235	248710456	RUNX_peak_210	0	.	23	27	14	21	11	12	13	20
chr1	248925120	248925440	RUNX_peak_211	0	.	37	16	27	47	44	30	18	43
chr10	753819	754009	RUNX_peak_212	0	.	23	15	14	19	33	33	27	40
chr10	761540	761971	RUNX_peak_213	0	.	62	59	41	33	48	60	65	37
chr10	4131380	4131663	RUNX_peak_214	0	.	27	31	26	34	56	59	37	23
chr10	5291695	5291901	RUNX_peak_215	0	.	26	30	17	25	41	46	48	36
chr10	5813707	5813901	RUNX_peak_216	0	.	19	19	13	13	26	14	22	32
chr10	6927559	6928012	RUNX_peak_217	0	.	104	93	68	95	116	109	82	81
chr10	7045915	7046650	RUNX_peak_218	0	.	80	136	84	107	175	173	129	125
chr10	7046925	7047054	RUNX_peak_219	0	.	19	10	10	10	15	20	14	10
chr10	7084446	7084947	RUNX_peak_220	0	.	49	59	59	47	112	79	53	96
chr10	7471900	7472300	RUNX_peak_221	0	.	54	69	45	66	109	61	63	92
chr10	11162978	11163428	RUNX_peak_222	0	.	57	78	46	69	87	97	40	61
chr10	11178630	11179135	RUNX_peak_223	0	.	87	63	76	57	177	126	114	147
chr10	12112992	12113258	RUNX_peak_224	0	.	35	14	26	41	56	48	15	31
chr10	13718177	13718477	RUNX_peak_225	0	.	42	49	46	47	48	50	46	43
chr10	14659454	14660235	RUNX_peak_226	0	.	109	123	148	129	244	149	105	116
chr10	17216464	17216639	RUNX_peak_227	0	.	22	19	12	33	42	22	6	27
chr10	17228137	17228704	RUNX_peak_228	0	.	110	91	104	97	163	113	114	107
chr10	19826364	19826448	RUNX_peak_229	0	.	30	5	19	4	9	6	12	6
chr10	19826755	19827143	RUNX_peak_230	0	.	54	58	27	44	74	77	68	90
chr10	21449368	21449549	RUNX_peak_231	0	.	18	27	9	13	39	46	12	29
chr10	22320536	22320656	RUNX_peak_232	0	.	12	13	14	0	11	6	10	15
chr10	22723421	22723655	RUNX_peak_233	0	.	50	135	24	62	89	51	85	50
chr10	23871292	23871521	RUNX_peak_234	0	.	36	58	25	38	71	84	51	49
chr10	26437891	26438273	RUNX_peak_235	0	.	51	78	50	77	87	70	86	65
chr10	26860695	26861050	RUNX_peak_236	0	.	30	38	37	23	47	27	38	30
chr10	30169459	30169825	RUNX_peak_237	0	.	40	51	44	42	56	50	55	63
chr10	30494317	30494708	RUNX_peak_238	0	.	30	26	35	53	37	27	40	14
chr10	31977268	31977857	RUNX_peak_239	0	.	39	48	50	57	59	55	43	45
chr10	42973004	42973607	RUNX_peak_240	0	.	48	58	63	61	114	69	64	39
chr10	43417744	43418450	RUNX_peak_241	0	.	67	56	45	80	108	80	50	82
chr10	44968284	44968466	RUNX_peak_242	0	.	27	62	22	30	59	56	36	49
chr10	45380204	45380463	RUNX_peak_243	0	.	44	52	28	40	67	53	50	56
chr10	46030344	46030782	RUNX_peak_244	0	.	59	81	50	78	110	91	67	46
chr10	46080094	46080259	RUNX_peak_245	0	.	17	37	33	42	61	38	33	12
chr10	46080345	46080351	RUNX_peak_246	0	.	2	7	2	3	3	2	1	0
chr10	60236942	60237232	RUNX_peak_247	0	.	27	38	25	27	71	37	48	42
chr10	63430791	63430954	RUNX_peak_248	0	.	10	9	12	12	16	20	7	15
chr10	63630633	63630772	RUNX_peak_249	0	.	10	20	5	11	16	11	20	19
chr10	67849365	67849627	RUNX_peak_250	0	.	50	78	25	26	41	55	47	58
chr10	67884490	67884736	RUNX_peak_251	0	.	57	44	44	25	73	41	53	37
chr10	68331581	68332269	RUNX_peak_252	0	.	184	158	124	101	175	167	170	159
chr10	69061455	69061905	RUNX_peak_253	0	.	48	92	68	99	145	92	89	107
chr10	69072840	69074081	RUNX_peak_254	0	.	104	156	157	184	195	205	145	187
chr10	69075244	69075819	RUNX_peak_255	0	.	74	93	80	113	121	158	100	92
chr10	71728161	71728289	RUNX_peak_256	0	.	16	22	12	17	16	18	11	24
chr10	71747732	71748287	RUNX_peak_257	0	.	93	81	81	80	111	83	83	72
chr10	71748797	71749163	RUNX_peak_258	0	.	59	84	45	52	68	55	70	66
chr10	71753501	71753860	RUNX_peak_259	0	.	63	85	35	27	59	33	49	58
chr10	71775433	71775735	RUNX_peak_260	0	.	44	33	44	50	71	70	56	43
chr10	71850951	71851120	RUNX_peak_261	0	.	2	17	8	7	7	7	5	16
chr10	71888753	71889107	RUNX_peak_262	0	.	64	66	52	55	93	93	61	59
chr10	72297277	72297484	RUNX_peak_263	0	.	71	67	38	42	99	54	42	35
chr10	72319551	72320068	RUNX_peak_264	0	.	73	99	87	86	92	81	88	95
chr10	72334974	72335594	RUNX_peak_265	0	.	108	103	104	91	140	113	75	106
chr10	73358637	73358958	RUNX_peak_266	0	.	55	66	37	44	76	39	71	40
chr10	73907748	73908292	RUNX_peak_267	0	.	42	79	74	87	121	94	51	91
chr10	73909054	73909607	RUNX_peak_268	0	.	40	49	33	44	107	63	56	78
chr10	77648494	77648962	RUNX_peak_269	0	.	92	132	68	82	143	112	91	85
chr10	79137784	79138146	RUNX_peak_270	0	.	62	68	52	43	103	70	72	71
chr10	79286321	79286710	RUNX_peak_271	0	.	115	111	42	60	86	44	107	83
chr10	79356150	79356441	RUNX_peak_272	0	.	37	23	35	26	30	44	28	46
chr10	83992085	83992449	RUNX_peak_273	0	.	48	63	45	55	64	47	72	59
chr10	86355340	86355595	RUNX_peak_274	0	.	24	31	17	15	31	28	54	37
chr10	88064818	88065334	RUNX_peak_275	0	.	103	82	79	74	128	139	80	119
chr10	88385338	88386489	RUNX_peak_276	0	.	243	378	285	234	359	377	284	286
chr10	88490462	88491286	RUNX_peak_277	0	.	113	127	90	106	139	124	108	149
chr10	92756631	92756957	RUNX_peak_278	0	.	21	23	22	19	76	51	32	33
chr10	93702423	93702640	RUNX_peak_279	0	.	32	47	29	22	44	43	29	39
chr10	94299604	94299717	RUNX_peak_280	0	.	12	19	6	16	43	20	13	12
chr10	94545521	94545990	RUNX_peak_281	0	.	78	70	69	33	90	74	55	82
chr10	96720512	96720863	RUNX_peak_282	0	.	72	54	53	63	47	50	82	91
chr10	100185801	100186103	RUNX_peak_283	0	.	14	18	26	30	58	34	35	61
chr10	101060639	101060969	RUNX_peak_284	0	.	84	51	49	65	82	66	53	61
chr10	102645947	102646335	RUNX_peak_285	0	.	84	73	47	45	96	58	83	78
chr10	103471303	103471618	RUNX_peak_286	0	.	35	55	31	32	50	46	37	57
chr10	110076889	110077079	RUNX_peak_287	0	.	16	17	21	33	35	47	11	34
chr10	112227566	112227872	RUNX_peak_288	0	.	64	86	42	59	98	69	58	53
chr10	113094194	113094367	RUNX_peak_289	0	.	8	18	13	21	36	37	22	16
chr10	113991160	113991393	RUNX_peak_290	0	.	51	58	20	36	58	42	42	27
chr10	118394970	118395163	RUNX_peak_291	0	.	14	13	12	16	21	10	31	35
chr10	119131702	119132172	RUNX_peak_292	0	.	59	71	87	67	126	107	46	70
chr10	119135342	119135910	RUNX_peak_293	0	.	26	56	56	64	74	114	56	72
chr10	119138222	119138586	RUNX_peak_294	0	.	34	25	23	37	80	66	23	32
chr10	119784632	119784650	RUNX_peak_295	0	.	3	4	1	0	6	3	1	8
chr10	119784755	119785023	RUNX_peak_296	0	.	37	51	34	39	66	49	42	24
chr10	119786081	119786450	RUNX_peak_297	0	.	45	79	40	48	135	80	59	90
chr10	121838940	121839346	RUNX_peak_298	0	.	54	26	34	22	63	69	56	55
chr10	121854903	121855197	RUNX_peak_299	0	.	18	19	24	34	38	14	24	38
chr10	123008724	123008894	RUNX_peak_300	0	.	39	47	19	30	70	29	46	53
chr10	125719335	125719654	RUNX_peak_301	0	.	30	39	23	15	60	65	28	39
chr10	128062984	128063347	RUNX_peak_302	0	.	52	68	49	51	85	41	54	60
chr10	128064569	128065105	RUNX_peak_303	0	.	80	110	93	88	138	129	108	134
chr10	131591800	131592140	RUNX_peak_304	0	.	21	45	24	44	86	60	42	54
chr10	131897487	131897637	RUNX_peak_305	0	.	12	13	19	13	34	26	12	20
chr10	132551399	132551641	RUNX_peak_306	0	.	35	32	36	41	44	45	48	50
chr10	132575455	132575463	RUNX_peak_307	0	.	3	2	6	7	8	16	7	6
chr10	132588480	132589063	RUNX_peak_308	0	.	76	103	98	100	180	93	73	90
chr10	133259131	133259471	RUNX_peak_309	0	.	68	90	71	62	111	101	52	77
chr10	133278720	133278888	RUNX_peak_310	0	.	16	19	21	22	26	25	30	19
chr10	133373417	133373560	RUNX_peak_311	0	.	51	40	31	22	43	52	44	32
chr11	503781	503789	RUNX_peak_312	0	.	1	4	0	0	3	1	3	2
chr11	1310928	1311160	RUNX_peak_313	0	.	18	24	10	20	16	15	27	34
chr11	3124616	3124808	RUNX_peak_314	0	.	40	44	27	45	49	51	31	31
chr11	3153558	3153965	RUNX_peak_315	0	.	46	88	75	78	132	94	89	61
chr11	3614513	3614766	RUNX_peak_316	0	.	32	19	30	15	40	54	14	24
chr11	8682458	8682862	RUNX_peak_317	0	.	87	118	66	71	105	57	88	72
chr11	10503727	10503916	RUNX_peak_318	0	.	10	35	21	21	28	23	16	20
chr11	11416529	11417080	RUNX_peak_319	0	.	102	116	82	79	105	130	118	144
chr11	11841675	11842108	RUNX_peak_320	0	.	52	50	47	46	39	33	67	56
chr11	12159619	12159903	RUNX_peak_321	0	.	21	16	28	29	40	32	24	29
chr11	13463079	13463753	RUNX_peak_322	0	.	160	187	144	147	206	124	202	149
chr11	17165290	17165753	RUNX_peak_323	0	.	51	51	42	37	68	44	55	57
chr11	17276211	17276605	RUNX_peak_324	0	.	89	70	63	65	109	81	83	92
chr11	20611947	20612329	RUNX_peak_325	0	.	55	111	82	81	156	111	58	80
chr11	27423150	27423342	RUNX_peak_326	0	.	15	8	23	19	34	36	15	23
chr11	27907580	27907828	RUNX_peak_327	0	.	32	28	22	34	57	56	25	40
chr11	27926782	27927317	RUNX_peak_328	0	.	62	101	88	85	145	120	82	74
