Chr	start	stop	V4	V5	V6	M24C1_MYC	M24C2_MYC	M24D1_MYC	M24D2_MYC	M24G1_MYC	M24G2_MYC	M24Q1_MYC	M24Q2_MYC
chr1	6612883	6613902	MYC_peak_68	0	.	121	76	158	124	154	194	118	201
chr1	6624922	6625724	MYC_peak_69	0	.	41	42	73	77	66	59	46	95
chr1	6700870	6702515	MYC_peak_70	0	.	270	256	457	395	380	439	279	559
chr1	6743243	6743936	MYC_peak_71	0	.	43	49	74	103	81	110	79	109
chr1	6784082	6785079	MYC_peak_72	0	.	246	243	484	316	283	436	379	464
chr1	7770861	7771461	MYC_peak_73	0	.	52	54	61	64	63	76	72	116
chr1	7783570	7784377	MYC_peak_74	0	.	53	59	97	93	90	104	48	68
chr1	7827130	7827951	MYC_peak_75	0	.	63	48	96	68	64	100	79	104
chr1	7856299	7856798	MYC_peak_76	0	.	37	36	69	47	45	75	44	72
chr1	7942071	7942786	MYC_peak_77	0	.	108	64	94	61	89	100	80	122
chr1	7953738	7954812	MYC_peak_78	0	.	189	154	217	218	194	296	233	311
chr1	7961054	7962351	MYC_peak_79	0	.	205	185	263	272	324	383	264	403
chr1	8107063	8107518	MYC_peak_80	0	.	41	17	21	26	47	44	35	33
chr1	8211734	8212448	MYC_peak_81	0	.	49	49	87	89	89	114	71	119
chr1	8525805	8526197	MYC_peak_82	0	.	34	22	40	41	42	79	74	65
chr1	8701644	8703517	MYC_peak_83	0	.	224	183	262	263	271	406	220	288
chr1	8873570	8874282	MYC_peak_84	0	.	76	53	82	77	66	121	72	92
chr1	8877777	8880049	MYC_peak_85	0	.	973	694	1530	1129	1227	1576	1242	1691
chr1	8938566	8938865	MYC_peak_86	0	.	23	10	5	15	46	40	20	38
chr1	9066830	9067935	MYC_peak_87	0	.	180	121	234	242	179	283	179	248
chr1	9069250	9070058	MYC_peak_88	0	.	66	49	93	107	52	131	49	87
chr1	9128663	9129219	MYC_peak_89	0	.	54	29	112	39	53	88	44	99
chr1	9143322	9143742	MYC_peak_90	0	.	26	49	57	66	44	61	40	40
chr1	9182147	9182660	MYC_peak_91	0	.	61	29	53	34	35	78	24	54
chr1	9234331	9235305	MYC_peak_92	0	.	121	122	202	109	172	152	184	199
chr1	9244498	9244860	MYC_peak_93	0	.	20	20	28	25	37	66	27	43
chr1	9290507	9290861	MYC_peak_94	0	.	35	15	26	25	25	48	16	26
chr1	9539070	9540317	MYC_peak_95	0	.	204	181	387	262	298	377	284	437
chr1	9588519	9589843	MYC_peak_96	0	.	148	65	248	200	173	194	219	268
chr1	9627063	9627488	MYC_peak_97	0	.	57	52	50	88	73	99	55	70
chr1	9629674	9630523	MYC_peak_98	0	.	120	53	106	127	93	145	148	143
chr1	9651496	9652517	MYC_peak_99	0	.	86	60	116	123	79	117	82	108
chr1	9652727	9652835	MYC_peak_100	0	.	9	5	20	9	6	8	11	5
chr1	9653061	9653192	MYC_peak_101	0	.	20	5	13	21	6	22	11	14
chr1	9653628	9654633	MYC_peak_102	0	.	93	42	152	124	92	160	92	192
chr1	9654662	9654889	MYC_peak_103	0	.	14	17	10	36	22	29	7	25
chr1	9900138	9900831	MYC_peak_104	0	.	44	60	87	84	94	91	70	85
chr1	9909946	9910896	MYC_peak_105	0	.	91	71	128	105	116	169	83	165
chr1	9942824	9943650	MYC_peak_106	0	.	117	72	97	121	92	116	90	124
chr1	10033159	10033641	MYC_peak_107	0	.	14	25	29	36	30	54	50	69
chr1	10074505	10074947	MYC_peak_108	0	.	35	17	46	57	65	37	22	40
chr1	10210165	10210440	MYC_peak_109	0	.	12	20	28	23	7	16	9	26
chr1	10398485	10400438	MYC_peak_110	0	.	206	201	255	216	252	296	260	371
chr1	10430139	10431082	MYC_peak_111	0	.	49	63	132	104	107	181	110	145
chr1	10472149	10472900	MYC_peak_112	0	.	117	92	136	132	140	139	95	171
chr1	10475033	10475273	MYC_peak_113	0	.	7	11	6	20	8	19	16	27
chr1	11012109	11013253	MYC_peak_114	0	.	138	114	166	131	165	204	127	164
chr1	11058811	11061413	MYC_peak_115	0	.	637	510	798	711	663	914	738	1145
chr1	11062811	11063356	MYC_peak_116	0	.	64	22	43	55	72	94	54	48
chr1	11099321	11099915	MYC_peak_117	0	.	106	51	140	118	95	147	77	170
chr1	11262258	11262835	MYC_peak_118	0	.	33	29	72	37	79	79	65	68
chr1	11273028	11274564	MYC_peak_119	0	.	365	281	573	334	457	640	351	601
chr1	11384065	11384319	MYC_peak_120	0	.	16	20	22	22	29	29	24	30
chr1	11664044	11664921	MYC_peak_121	0	.	65	33	87	80	73	87	69	65
chr1	11680880	11681542	MYC_peak_122	0	.	73	59	70	70	55	85	90	112
chr1	11719123	11720041	MYC_peak_123	0	.	107	56	118	116	93	135	126	186
chr1	11729332	11730450	MYC_peak_124	0	.	80	65	140	132	145	136	127	149
chr1	11731374	11731974	MYC_peak_125	0	.	24	26	52	40	64	41	61	56
chr1	11736028	11737196	MYC_peak_126	0	.	122	113	175	217	185	179	147	163
chr1	11740789	11741279	MYC_peak_127	0	.	16	8	33	49	55	54	24	55
chr1	11805460	11806642	MYC_peak_128	0	.	131	80	148	146	157	175	131	207
chr1	11908573	11909683	MYC_peak_129	0	.	119	63	149	105	146	151	83	102
chr1	11926547	11927123	MYC_peak_130	0	.	60	54	55	72	52	119	66	73
chr1	11934333	11935104	MYC_peak_131	0	.	98	114	117	129	124	157	123	164
chr1	11979769	11980759	MYC_peak_132	0	.	106	134	127	128	130	154	106	156
chr1	11985945	11986285	MYC_peak_133	0	.	20	25	48	46	54	56	34	67
chr1	12019326	12020298	MYC_peak_134	0	.	130	131	232	241	227	248	181	305
chr1	12063266	12063808	MYC_peak_135	0	.	34	17	107	59	52	79	29	81
chr1	12143065	12144546	MYC_peak_136	0	.	262	151	319	275	238	383	198	349
chr1	12167025	12167997	MYC_peak_137	0	.	161	74	152	169	145	151	162	187
chr1	12510273	12510948	MYC_peak_138	0	.	62	58	107	98	70	127	65	85
chr1	12596066	12596518	MYC_peak_139	0	.	52	35	59	61	38	70	53	63
chr1	12617699	12618705	MYC_peak_140	0	.	121	80	115	140	127	165	185	168
chr1	13642357	13643160	MYC_peak_141	0	.	85	80	120	145	108	190	129	169
chr1	13699974	13701010	MYC_peak_142	0	.	226	120	229	182	195	223	243	295
chr1	13748671	13749972	MYC_peak_143	0	.	220	148	268	231	231	338	261	305
chr1	14777885	14778308	MYC_peak_144	0	.	33	23	59	59	46	85	38	56
chr1	14780115	14780408	MYC_peak_145	0	.	16	8	16	22	16	12	9	25
chr1	14924082	14924574	MYC_peak_146	0	.	40	17	52	30	53	42	32	82
chr1	14996575	14997012	MYC_peak_147	0	.	13	20	31	40	44	59	30	32
chr1	15409518	15411899	MYC_peak_148	0	.	164	169	317	306	256	327	232	328
chr1	15416160	15416202	MYC_peak_149	0	.	4	4	2	5	9	12	12	6
chr1	15523986	15524296	MYC_peak_150	0	.	30	17	32	24	34	25	22	44
chr1	15524713	15525348	MYC_peak_151	0	.	43	32	62	55	63	86	34	83
chr1	15526542	15527232	MYC_peak_152	0	.	59	60	85	75	100	119	68	88
chr1	15584384	15585391	MYC_peak_153	0	.	246	163	306	325	339	378	260	382
chr1	15603426	15604063	MYC_peak_154	0	.	57	48	63	62	55	67	60	90
chr1	15617178	15619186	MYC_peak_155	0	.	256	190	355	260	379	389	290	382
chr1	15697026	15697188	MYC_peak_156	0	.	26	15	37	21	30	42	26	60
chr1	15832948	15836339	MYC_peak_157	0	.	554	449	821	748	807	898	661	943
chr1	15836807	15837641	MYC_peak_158	0	.	87	64	128	92	81	155	65	134
chr1	15847004	15850233	MYC_peak_159	0	.	364	271	503	422	453	528	369	624
chr1	15975611	15976025	MYC_peak_160	0	.	36	33	35	24	36	65	33	64
chr1	16012907	16013213	MYC_peak_161	0	.	33	11	46	23	37	43	28	42
chr1	16206499	16207328	MYC_peak_162	0	.	226	159	284	207	297	310	241	354
chr1	16236949	16237447	MYC_peak_163	0	.	46	22	81	77	51	102	92	60
chr1	16352080	16352865	MYC_peak_164	0	.	94	37	99	136	86	96	90	115
chr1	16367152	16368047	MYC_peak_165	0	.	108	79	155	157	140	168	142	209
chr1	16440304	16440968	MYC_peak_166	0	.	104	70	119	97	112	121	110	134
chr1	16514103	16514327	MYC_peak_167	0	.	37	25	23	39	43	45	35	30
chr1	16613146	16613471	MYC_peak_168	0	.	66	38	44	39	45	63	40	69
chr1	16643861	16645041	MYC_peak_169	0	.	128	168	213	201	214	184	174	274
chr1	16896031	16896490	MYC_peak_170	0	.	30	32	34	39	39	80	9	60
chr1	16904495	16905254	MYC_peak_171	0	.	75	53	90	62	119	128	77	142
chr1	17011657	17012010	MYC_peak_172	0	.	30	23	29	30	36	25	26	47
chr1	17013813	17014364	MYC_peak_173	0	.	42	38	74	75	88	98	72	120
chr1	17028776	17029096	MYC_peak_174	0	.	9	12	10	21	35	40	10	21
chr1	17053634	17054335	MYC_peak_175	0	.	59	36	108	80	97	102	92	81
chr1	17066841	17067532	MYC_peak_176	0	.	87	75	97	109	84	144	84	162
chr1	17141762	17142409	MYC_peak_177	0	.	56	47	61	86	69	102	86	123
chr1	17431600	17431889	MYC_peak_178	0	.	10	8	17	45	36	36	22	34
chr1	17437584	17440260	MYC_peak_179	0	.	491	364	739	426	419	553	510	655
chr1	17569499	17570131	MYC_peak_180	0	.	52	64	107	92	109	120	58	86
chr1	17635703	17636444	MYC_peak_181	0	.	92	81	115	72	120	112	121	163
chr1	18902480	18903249	MYC_peak_182	0	.	84	50	165	116	82	106	77	138
chr1	19209693	19211087	MYC_peak_183	0	.	108	126	239	211	222	204	156	242
chr1	19250617	19253101	MYC_peak_184	0	.	701	584	1007	824	816	994	743	1260
chr1	19287684	19289306	MYC_peak_185	0	.	184	113	212	273	225	337	263	325
chr1	19311926	19312872	MYC_peak_186	0	.	110	71	141	141	121	193	135	184
chr1	19313779	19314666	MYC_peak_187	0	.	74	46	85	92	60	117	67	101
chr1	19318298	19319102	MYC_peak_188	0	.	38	27	58	96	93	130	73	105
chr1	19338243	19338610	MYC_peak_189	0	.	28	28	41	55	44	45	24	74
chr1	19485236	19486427	MYC_peak_190	0	.	240	179	368	232	258	334	261	311
chr1	19596754	19598024	MYC_peak_191	0	.	322	221	389	312	335	337	298	388
chr1	19798912	19800419	MYC_peak_192	0	.	227	191	326	278	232	306	294	356
chr1	20123822	20124194	MYC_peak_193	0	.	40	25	31	37	62	49	25	63
chr1	20153557	20154510	MYC_peak_194	0	.	50	73	131	112	97	110	76	139
chr1	20165552	20166586	MYC_peak_195	0	.	143	110	173	142	180	185	150	206
chr1	20171394	20171786	MYC_peak_196	0	.	45	33	54	64	44	53	42	54
chr1	20171963	20171993	MYC_peak_197	0	.	0	2	3	1	1	1	2	1
chr1	20174855	20175408	MYC_peak_198	0	.	29	46	77	72	45	88	50	94
chr1	20184588	20185253	MYC_peak_199	0	.	47	40	62	52	57	78	32	55
chr1	20380762	20381161	MYC_peak_200	0	.	33	29	55	61	64	52	38	74
chr1	20632941	20633620	MYC_peak_201	0	.	55	30	77	74	73	86	66	68
chr1	20661014	20662197	MYC_peak_202	0	.	117	94	181	175	170	195	144	203
chr1	20678534	20678813	MYC_peak_203	0	.	19	10	27	21	23	27	21	37
chr1	20732902	20733491	MYC_peak_204	0	.	21	49	29	61	60	58	46	51
chr1	20785560	20787702	MYC_peak_205	0	.	232	167	367	315	300	401	285	405
chr1	21176318	21176996	MYC_peak_206	0	.	61	75	124	119	104	145	125	172
chr1	21261468	21262028	MYC_peak_207	0	.	71	68	85	112	90	147	75	101
chr1	21324494	21325291	MYC_peak_208	0	.	41	51	73	68	74	113	74	83
chr1	21345649	21346334	MYC_peak_209	0	.	63	56	117	99	85	109	105	106
chr1	21768237	21768778	MYC_peak_210	0	.	24	47	74	81	116	109	27	84
chr1	21782159	21783588	MYC_peak_211	0	.	129	108	227	225	224	271	185	309
chr1	21866004	21866659	MYC_peak_212	0	.	86	66	70	89	71	101	61	101
chr1	21924760	21925103	MYC_peak_213	0	.	36	23	51	40	30	52	30	31
chr1	22018536	22018823	MYC_peak_214	0	.	16	10	23	18	14	24	9	18
chr1	22025306	22026133	MYC_peak_215	0	.	125	83	137	129	112	112	121	139
chr1	22026195	22026538	MYC_peak_216	0	.	23	27	28	36	40	33	31	43
chr1	22052525	22053029	MYC_peak_217	0	.	65	41	90	74	72	91	68	92
chr1	22053445	22053508	MYC_peak_218	0	.	15	4	4	10	8	6	11	15
chr1	22451604	22452395	MYC_peak_219	0	.	137	127	147	142	158	207	121	221
chr1	23019142	23019916	MYC_peak_220	0	.	146	114	170	137	149	184	138	200
chr1	23020275	23020805	MYC_peak_221	0	.	30	29	38	30	33	82	42	48
chr1	23169386	23170091	MYC_peak_222	0	.	39	48	102	85	68	103	64	58
chr1	23342503	23345403	MYC_peak_223	0	.	648	508	882	773	841	1042	639	1103
chr1	23367980	23369197	MYC_peak_224	0	.	93	52	154	188	134	196	155	174
chr1	23402045	23403765	MYC_peak_225	0	.	156	110	170	219	223	266	146	220
chr1	23530615	23531694	MYC_peak_226	0	.	72	62	153	89	121	191	100	139
chr1	23554784	23555281	MYC_peak_227	0	.	37	37	47	64	65	67	43	56
chr1	23691556	23693218	MYC_peak_228	0	.	443	278	488	350	441	645	421	640
chr1	23726973	23728174	MYC_peak_229	0	.	161	122	151	137	185	290	126	186
chr1	23742826	23744560	MYC_peak_230	0	.	326	204	379	296	270	386	316	486
chr1	23777751	23778737	MYC_peak_231	0	.	118	71	204	133	153	190	161	190
chr1	23790216	23790643	MYC_peak_232	0	.	41	11	34	47	41	47	20	23
chr1	23791033	23791357	MYC_peak_233	0	.	38	22	41	31	58	35	19	56
chr1	23800457	23801295	MYC_peak_234	0	.	84	51	119	111	122	159	63	114
chr1	23825188	23825764	MYC_peak_235	0	.	33	45	78	66	78	98	86	101
chr1	23838463	23839049	MYC_peak_236	0	.	44	37	49	75	42	73	31	92
chr1	23867999	23868651	MYC_peak_237	0	.	30	15	44	60	28	54	42	46
chr1	23897286	23897674	MYC_peak_238	0	.	28	21	42	20	30	35	13	30
chr1	23909010	23909185	MYC_peak_239	0	.	18	13	19	28	33	30	9	39
chr1	23913252	23913596	MYC_peak_240	0	.	25	19	26	20	45	54	20	45
chr1	23958565	23960385	MYC_peak_241	0	.	222	138	353	319	353	463	286	467
chr1	23979290	23980717	MYC_peak_242	0	.	277	208	455	420	423	546	272	480
chr1	24174070	24174635	MYC_peak_243	0	.	104	71	74	94	94	133	85	76
chr1	24189830	24190035	MYC_peak_244	0	.	9	16	16	17	12	13	16	30
chr1	24190409	24191117	MYC_peak_245	0	.	44	38	59	97	68	87	59	65
chr1	24191790	24192315	MYC_peak_246	0	.	22	11	49	51	36	34	26	57
chr1	24321849	24322462	MYC_peak_247	0	.	37	56	84	94	46	90	34	44
chr1	24416325	24416894	MYC_peak_248	0	.	59	22	68	64	54	36	47	90
chr1	24502532	24503172	MYC_peak_249	0	.	58	60	90	83	85	76	58	76
chr1	24535083	24535416	MYC_peak_250	0	.	8	7	34	27	14	28	13	15
chr1	24642483	24643646	MYC_peak_251	0	.	156	139	229	184	213	282	204	286
chr1	24744821	24745347	MYC_peak_252	0	.	36	35	42	62	41	70	44	88
chr1	24745353	24745479	MYC_peak_253	0	.	5	4	12	7	12	9	5	10
chr1	24746081	24746518	MYC_peak_254	0	.	23	22	31	54	42	66	18	30
chr1	24848148	24848927	MYC_peak_255	0	.	165	157	246	223	131	295	245	262
chr1	24872362	24872991	MYC_peak_256	0	.	106	72	92	92	85	122	83	133
chr1	24928870	24930266	MYC_peak_257	0	.	126	79	128	90	152	154	99	194
chr1	24964941	24965961	MYC_peak_258	0	.	129	158	191	209	132	158	173	288
chr1	25007368	25008067	MYC_peak_259	0	.	84	58	108	109	64	119	141	119
chr1	25022702	25023026	MYC_peak_260	0	.	26	21	42	44	50	58	53	43
chr1	25033578	25034426	MYC_peak_261	0	.	55	58	85	68	98	101	94	79
chr1	25080615	25080910	MYC_peak_262	0	.	20	15	30	39	16	39	23	35
chr1	25232158	25233157	MYC_peak_263	0	.	81	79	120	113	87	169	96	167
chr1	25246867	25247761	MYC_peak_264	0	.	91	72	153	108	129	132	130	152
chr1	25338252	25338869	MYC_peak_265	0	.	32	39	92	67	57	113	66	96
chr1	25429872	25430633	MYC_peak_266	0	.	100	77	141	150	159	159	114	177
chr1	25430932	25431096	MYC_peak_267	0	.	13	3	21	18	16	22	13	35
chr1	25549164	25550237	MYC_peak_268	0	.	78	102	162	138	130	219	124	221
chr1	25616127	25616961	MYC_peak_269	0	.	47	29	78	94	85	92	62	79
chr1	25617489	25617927	MYC_peak_270	0	.	21	35	36	50	45	37	34	64
chr1	25819688	25820268	MYC_peak_271	0	.	54	31	59	52	48	62	60	53
chr1	25820624	25821248	MYC_peak_272	0	.	61	71	69	40	74	73	57	68
chr1	25859020	25859963	MYC_peak_273	0	.	84	82	131	78	116	168	118	150
chr1	25875231	25875962	MYC_peak_274	0	.	91	65	135	104	115	168	142	131
chr1	25905439	25906829	MYC_peak_275	0	.	148	161	356	268	293	363	217	291
chr1	25922203	25923717	MYC_peak_276	0	.	216	219	431	320	284	517	302	447
chr1	25997445	25997633	MYC_peak_277	0	.	12	12	14	20	18	20	12	11
chr1	25998081	25998573	MYC_peak_278	0	.	88	75	123	123	100	125	70	147
chr1	26110716	26112189	MYC_peak_279	0	.	220	169	365	242	285	391	248	397
chr1	26126350	26126673	MYC_peak_280	0	.	22	13	9	9	29	39	10	26
chr1	26161488	26162079	MYC_peak_281	0	.	74	34	111	78	71	101	69	122
chr1	26169599	26170606	MYC_peak_282	0	.	217	139	249	249	246	305	226	297
chr1	26233893	26235349	MYC_peak_283	0	.	174	142	299	270	259	320	196	334
chr1	26279760	26280238	MYC_peak_284	0	.	58	44	52	56	43	73	50	53
chr1	26284698	26285311	MYC_peak_285	0	.	45	51	60	96	75	97	67	74
chr1	26289296	26290233	MYC_peak_286	0	.	143	125	200	179	142	179	187	286
chr1	26306273	26306588	MYC_peak_287	0	.	23	15	18	38	24	48	13	38
chr1	26336455	26336973	MYC_peak_288	0	.	30	36	72	63	77	104	60	53
chr1	26378266	26378924	MYC_peak_289	0	.	101	38	108	134	94	158	95	154
chr1	26431484	26432590	MYC_peak_290	0	.	140	174	315	195	249	331	244	352
chr1	26471874	26473473	MYC_peak_291	0	.	144	156	353	302	277	344	191	367
chr1	26500028	26501676	MYC_peak_292	0	.	478	395	752	649	609	828	649	835
chr1	26541581	26542759	MYC_peak_293	0	.	158	141	192	212	215	288	178	253
chr1	26545731	26546104	MYC_peak_294	0	.	42	22	77	35	43	77	39	56
chr1	26555492	26556009	MYC_peak_295	0	.	45	19	46	41	68	82	54	45
chr1	26582884	26583200	MYC_peak_296	0	.	70	35	63	66	67	73	38	76
chr1	26619596	26621841	MYC_peak_297	0	.	449	361	637	567	648	793	464	774
chr1	26677265	26677719	MYC_peak_298	0	.	36	38	22	47	45	76	37	56
chr1	26692358	26694491	MYC_peak_299	0	.	337	279	418	384	433	603	317	488
chr1	26695192	26696042	MYC_peak_300	0	.	244	194	346	287	349	323	337	434
chr1	26697224	26697647	MYC_peak_301	0	.	35	12	49	40	27	41	41	48
chr1	26786359	26787051	MYC_peak_302	0	.	43	55	95	76	78	105	73	105
chr1	26787682	26789214	MYC_peak_303	0	.	167	143	218	196	235	296	234	314
chr1	26864447	26865720	MYC_peak_304	0	.	129	93	213	122	168	159	119	164
chr1	26889759	26890250	MYC_peak_305	0	.	85	32	54	49	72	62	77	73
chr1	26921646	26922902	MYC_peak_306	0	.	221	135	220	272	259	291	223	273
chr1	27002231	27002550	MYC_peak_307	0	.	26	20	25	11	25	26	21	35
chr1	27111993	27112861	MYC_peak_308	0	.	92	76	145	157	111	221	101	181
chr1	27116425	27117038	MYC_peak_309	0	.	45	48	69	70	59	102	62	76
chr1	27321998	27323008	MYC_peak_310	0	.	221	184	241	299	300	432	230	314
chr1	27339023	27339186	MYC_peak_311	0	.	9	4	9	21	10	13	8	8
chr1	27341734	27342411	MYC_peak_312	0	.	65	69	104	63	76	92	92	119
chr1	27343219	27343646	MYC_peak_313	0	.	44	65	58	54	63	38	50	54
chr1	27366016	27366471	MYC_peak_314	0	.	14	9	33	21	29	42	26	45
chr1	27418471	27418744	MYC_peak_315	0	.	18	17	22	26	23	46	24	41
chr1	27435963	27436592	MYC_peak_316	0	.	51	40	37	74	72	107	25	63
chr1	27489686	27490146	MYC_peak_317	0	.	45	40	54	61	51	74	36	68
chr1	27525272	27527226	MYC_peak_318	0	.	197	180	346	331	311	361	353	478
chr1	27604127	27604427	MYC_peak_319	0	.	32	25	51	27	29	48	26	23
chr1	27725958	27726559	MYC_peak_320	0	.	51	37	43	59	42	53	56	51
chr1	27773192	27773803	MYC_peak_321	0	.	49	28	58	63	61	64	33	63
chr1	27830768	27831424	MYC_peak_322	0	.	99	71	100	65	125	140	58	169
chr1	27863188	27863750	MYC_peak_323	0	.	28	52	63	71	63	90	41	115
chr1	27884859	27885665	MYC_peak_324	0	.	73	46	93	78	98	95	68	106
chr1	27885910	27886430	MYC_peak_325	0	.	40	26	74	59	49	90	35	95
chr1	27914153	27915250	MYC_peak_326	0	.	99	88	201	175	141	247	145	239
chr1	27932051	27932359	MYC_peak_327	0	.	38	12	27	32	25	36	26	42
chr1	28088065	28088965	MYC_peak_328	0	.	84	72	130	134	179	156	83	138
chr1	28232610	28233056	MYC_peak_329	0	.	23	29	34	66	25	58	45	61
chr1	28328471	28329287	MYC_peak_330	0	.	93	76	135	98	102	157	87	132
chr1	28369382	28370084	MYC_peak_331	0	.	73	70	120	118	116	124	91	164
chr1	28505362	28509650	MYC_peak_332	0	.	638	514	739	772	772	939	821	1058
chr1	28517946	28519565	MYC_peak_333	0	.	339	227	563	333	393	500	306	490
chr1	28552389	28553626	MYC_peak_334	0	.	256	142	233	261	234	324	216	265
chr1	28580913	28582720	MYC_peak_335	0	.	255	208	474	326	362	402	241	404
chr1	28642472	28644086	MYC_peak_336	0	.	317	227	519	365	440	496	355	560
